,city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
80,aflu,,,,,,,,
81,scarborough,0.0,GB,1566254114.0,76.0,54.28,-0.41,57.0,9.17
82,jamestown,37.0,AU,1566254114.0,88.0,-33.21,138.6,48.44,11.21
83,leningradskiy,75.0,RU,1566254114.0,89.0,69.38,178.42,45.02,9.46
84,kaitangata,100.0,NZ,1566254114.0,42.0,-46.28,169.85,51.01,5.99
85,isabela,89.0,PH,1566254115.0,79.0,10.2,122.99,81.92,12.19
86,ahuimanu,20.0,US,1566254115.0,58.0,21.44,-157.84,89.6,9.17
87,hirna,67.0,ET,1566254115.0,90.0,9.22,41.1,57.62,4.18
88,berlevag,75.0,NO,1566254115.0,82.0,70.86,29.09,60.8,18.34
89,georgetown,40.0,GY,1566254115.0,83.0,6.8,-58.16,82.4,9.17
90,airai,0.0,TL,1566254115.0,49.0,-8.93,125.41,80.66,2.68
91,changji,37.0,CN,1566254115.0,82.0,32.07,116.17,76.16,8.77
92,puerto escondido,90.0,MX,1566254116.0,94.0,15.86,-97.07,78.8,8.05
93,barreirinhas,69.0,BR,1566254116.0,89.0,-2.75,-42.83,74.0,4.27
94,henties bay,0.0,NA,1566254116.0,90.0,-22.12,14.28,55.99,3.0
95,oranjestad,20.0,AW,1566254098.0,74.0,12.52,-70.03,86.0,27.51
96,gat,20.0,SN,1566254116.0,88.0,14.69,-16.54,86.0,5.82
97,yerbogachen,99.0,RU,1566254116.0,96.0,61.28,108.01,52.4,6.06
98,tupik,100.0,RU,1566254116.0,96.0,54.43,119.94,49.7,2.91
99,la palma,73.0,CO,1566254116.0,68.0,5.36,-74.39,76.16,1.77
100,yatou,75.0,CM,1566254117.0,94.0,3.63,9.81,77.0,3.36
101,vaini,100.0,IN,1566254117.0,94.0,15.34,74.49,75.44,0.45
102,santo antonio do ica,37.0,BR,1566254117.0,58.0,-3.1,-67.94,80.48,2.42
103,masterton,9.0,NZ,1566254117.0,70.0,-40.95,175.66,52.0,15.01
104,coutances,0.0,FR,1566254117.0,87.0,49.05,-1.45,61.0,9.17
105,nome,1.0,US,1566254117.0,66.0,30.04,-94.42,93.2,6.93
106,ahipara,0.0,NZ,1566254117.0,100.0,-35.17,173.16,57.0,25.75
107,karratha,0.0,AU,1566253906.0,22.0,-20.74,116.85,64.1,30.31
108,grand-santi,99.0,GF,1566254118.0,98.0,4.27,-54.38,71.66,1.48
109,castro,0.0,CL,1566254118.0,70.0,-42.48,-73.76,48.2,4.7
110,attawapiskat,,,,,,,,
111,khonuu,,,,,,,,
112,byron bay,0.0,AU,1566253852.0,37.0,-28.65,153.62,63.0,10.29
113,kahului,20.0,US,1566254118.0,55.0,20.89,-156.47,87.8,21.92
114,belmonte,47.0,PT,1566254118.0,83.0,40.36,-7.35,71.01,1.01
115,bredasdorp,0.0,ZA,1566254118.0,87.0,-34.53,20.04,44.01,4.7
116,east london,4.0,ZA,1566254118.0,61.0,-33.02,27.91,51.68,11.5
117,atuona,0.0,PF,1566254119.0,76.0,-9.8,-139.03,79.4,17.78
118,mehamn,75.0,NO,1566254119.0,82.0,71.03,27.85,60.8,18.34
119,saint-philippe,75.0,CA,1566254119.0,54.0,45.36,-73.48,84.2,16.11
120,pisco,0.0,PE,1566253980.0,30.0,-13.71,-76.2,71.6,8.05
121,ijaki,,,,,,,,
122,black river,40.0,JM,1566254119.0,88.0,18.03,-77.85,80.6,6.93
123,ponta do sol,77.0,BR,1566254119.0,53.0,-20.63,-46.0,71.12,3.98
124,bukama,0.0,CD,1566254119.0,30.0,-9.2,25.85,63.2,2.33
125,hay river,75.0,CA,1566254120.0,76.0,60.82,-115.79,51.8,11.41
126,zorritos,75.0,PE,1566254120.0,33.0,-3.68,-80.68,89.6,8.05
127,wawa,100.0,NG,1566254120.0,97.0,9.9,4.41,70.4,3.83
128,ilabaya,0.0,PE,1566254120.0,85.0,-17.42,-70.51,49.88,2.33
129,vikhorevka,20.0,RU,1566254120.0,100.0,56.12,101.17,51.8,2.24
130,arauca,75.0,VE,1566254120.0,100.0,7.08,-70.76,75.2,5.82
131,umzimvubu,,,,,,,,
132,naugarzan,,,,,,,,
133,freeport,75.0,BS,1566254121.0,74.0,26.54,-78.7,82.4,9.17
134,albany,40.0,US,1566254115.0,54.0,42.65,-73.75,84.2,5.82
135,aklavik,90.0,CA,1566254121.0,100.0,68.22,-135.01,39.2,8.05
136,korla,,,,,,,,
137,fukue,75.0,JP,1566254121.0,88.0,35.03,136.69,81.0,5.82
138,palmer,20.0,AU,1566254121.0,87.0,-34.85,139.16,54.0,11.41
139,tiksi,31.0,RU,1566254121.0,75.0,71.64,128.87,55.64,3.33
140,porto novo,90.0,BR,1566254121.0,93.0,-23.68,-45.44,60.8,3.36
141,tilichiki,93.0,RU,1566253986.0,78.0,60.47,166.1,58.7,1.68
142,cherskiy,34.0,RU,1566254122.0,52.0,68.75,161.3,68.78,7.31
143,durango,75.0,MX,1566254033.0,32.0,24.02,-104.67,82.4,4.7
144,hobart,40.0,AU,1566254121.0,58.0,-42.88,147.33,55.4,20.8
145,gizo,0.0,IL,1566254122.0,65.0,31.8,34.94,77.0,6.93
146,praia da vitoria,75.0,PT,1566254122.0,88.0,38.73,-27.07,69.8,19.89
147,safford,1.0,US,1566254122.0,7.0,32.83,-109.71,102.2,13.87
148,teguldet,100.0,RU,1566254122.0,99.0,57.31,88.17,57.8,0.69
149,road town,20.0,VG,1566254123.0,83.0,18.42,-64.62,84.2,10.29
150,alice springs,0.0,AU,1566254123.0,59.0,-23.7,133.88,35.6,5.82
151,sinfra,75.0,CI,1566254123.0,88.0,6.62,-5.91,77.0,13.87
152,arraial do cabo,90.0,BR,1566254123.0,83.0,-22.97,-42.02,71.6,9.17
153,pangnirtung,5.0,CA,1566254123.0,81.0,66.15,-65.72,50.0,9.17
154,price,1.0,US,1566253876.0,8.0,39.6,-110.81,89.6,10.29
155,nassjo,40.0,SE,1566254123.0,93.0,57.65,14.7,55.4,9.17
156,saint-augustin,20.0,CA,1566254123.0,37.0,45.63,-73.98,84.2,9.17
157,cairns,0.0,AU,1566253924.0,68.0,-16.92,145.77,69.01,16.11
158,luderitz,0.0,NA,1566254124.0,52.0,-26.65,15.16,61.94,18.45
159,souillac,0.0,FR,1566254124.0,72.0,45.6,-0.6,62.6,4.7
160,koutsouras,0.0,GR,1566254124.0,54.0,35.03,25.95,77.0,21.0
161,sidney,1.0,US,1566254010.0,65.0,40.28,-84.16,88.0,1.1
162,dongsheng,38.0,CN,1566254124.0,70.0,29.72,112.52,80.84,2.98
163,amderma,,,,,,,,
164,bambui,100.0,CM,1566254124.0,98.0,6.01,10.23,61.22,2.59
165,manaure,20.0,CO,1566254125.0,47.0,11.78,-72.45,95.0,10.29
